id,category,behavioral_type,difficulty,n_apps,n_rubrics,rubric_class,n_pinned,n_seed_relative,n_procedural,var_keys,n_var_keys,personal_ref,instruction
hard_app-f011,long_horizon,bounded_action,hard,2,9,mixed,4,3,1,SPEEDTAX_1099_PAYER,1,True,"Book me a round-trip eTaxi for my Jamaica trip. I need a ride from my place to AVP in the wee hours of departure day and a return ride back from AVP when I land. Go with the cheapest option that has a driver wait under five minutes. While you're in eTaxi, add two new saved locations for me: the Dundies venue (1901 Mulberry St, Scranton, PA 18510) and the improv academy (its address is on the calendar event location)."
hard_app-f022,situated_action,bounded_action,hard,2,7,seed_relative,0,2,5,,0,True,"Check me in for my next upcoming Dinoco Airlines flight that has check-in open right now, and save the boarding pass to my Downloads folder so I can find it fast in the morning. While you're in my profile, take a screenshot of the loyalty / passenger-profile page so I have a record of my current Dinoco loyalty tier."
hard_app-f026,long_horizon,bounded_action,hard,2,10,pinned,4,0,2,SPRINTBOARD_PROJECTS;SPRINTBOARD_TOP_PROJECT_NAME,2,True,"I want to do a proper pass across all three of my SprintBoard projects (Team Morale, Diversity Day, and Movie Monday). Go through and apply appropriate labels to the open tasks in each project. Rewrite the descriptions on two of them that look stale, and leave a comment on the tasks that are sitting in review. Use the project briefs in my Documents for context so the labels and notes actually make sense."
hard_app-f027,situated_action,bounded_action,hard,2,9,seed_relative,0,1,4,,0,True,"Refresh my LockedIn presence: update my profile headline so it actually says what I do these days (something like 'Regional Manager | Author of Somehow I Manage' — use your judgment, but make it match my voice and current role). Then compose a new LockedIn post pulling an excerpt from chapter one of Somehow I Manage, which I've got in my Documents folder."
long_horizon-f006,long_horizon,multi_step_orchestration,hard,4,7,mixed,3,1,0,BUZZCHAT_GROUPS;SPRINTBOARD_PROJECTS;SPRINTBOARD_TOP_PROJECT_NAME,3,True,"Can you get my Team Morale Initiative Q2 board cleaned up and back in the green? There's a pile of open tasks just sitting there, some definitely need owners assigned. Pull up any Dundies/Morale project notes I have under ~/Documents so you're working off the real goals, then draft a short status + blockers document. When you're done, post a retro summary on the HooliWork #general channel and drop a quick win-update in a HooliChat team group (the Happy Hour at Poor Richards group is the go-to)."
long_horizon-f010,long_horizon,multi_step_orchestration,hard,3,8,mixed,2,1,0,BUZZCHAT_GROUPS,1,True,"I'm finally going to act like a responsible adult with my BatBucks account. Pull up my holdings, sell half of my GME and half of my RIVN (I know, I know, paper hands), and use the proceeds plus my free cash to buy more Meta like a normal person. Update my watchlist and write up a rationale memo in Documents so I can pretend this was strategic. Then post a tastefully smug update to the Finer Things Club chat."
long_horizon-f011,long_horizon,bounded_action,hard,3,7,mixed,6,2,0,LOCKEDIN_COMPANY;SPEEDTAX_RETURN_STATUS;SPEEDTAX_TAX_YEAR;SPEEDTAX_W2_EMPLOYER,4,True,"I've been dragging my feet on my taxes and I need you to finally finish my most-recent tax return in SpeedTax. The Dunder Mifflin W-2 numbers and the freelance consulting 1099 are both sitting in the Tax_2025 folder in my Documents. Plug them all in. Don't forget my charitable donations and the days I worked from home, then save the draft."
long_horizon-f012,long_horizon,multi_step_orchestration,hard,3,7,mixed,1,1,1,BUZZCHAT_GROUPS,1,True,"My OddsMarket account is hemorrhaging money and I need you to stop the bleeding. Pull up all my open positions and find the one I have absolutely no business betting on, meaning the one farthest from my actual expertise. Close that one out. Reinvest everything into the Office reboot bet, because that is literally my area of expertise. Write up the strategy in a Documents memo, and post a hyped-up message in the Threat Level Midnight Fan Club chat explaining why the Office bet is the smart play."
long_horizon-f014,long_horizon,multi_step_orchestration,hard,4,8,seed_relative,0,1,0,,0,True,"I want to know how my spending has changed from last year to this year, no sugarcoating. Go into my bank, pull both years of totals, and break them down by category. Do the same on the income side from my tax return for context. Identify the biggest movers and tell me where I'm leaking cash. Save a findings report in Documents and draft me a journal email to myself summarizing it."
long_horizon-f015,long_horizon,multi_step_orchestration,hard,6,8,mixed,1,1,1,BUZZCHAT_GROUPS,1,True,"I want to run a real Threat Level Midnight 2 cast & character workshop. Using my known improv alter egos (Prison Mike, Date Mike, Caleb Crawdad, etc.) and the TLM sequel notes in ~/Documents/Projects/Threat_Level_Midnight_Sequel_Notes.txt for context, figure out which of my alter egos can plausibly land roles in TLM2 alongside Michael Scarn. For each surviving character, write a one-paragraph TLM2 backstory in LibreOffice. Save the character bible under ~/Documents/Projects/. Block a Saturday-afternoon workshop on HooliCalendar so I can rehearse the new voices in front of a mirror. Drop a 'casting underway' tease in the HooliChat Threat Level Midnight Fan Club. Pre-fill a Kwik-E-Mart pickup with snacks and drinks for the workshop (chips, soda — character-work fuel). Wrap the character bible up as a LibreOffice Impress deck (one slide per character with the alter ego name + TLM2 backstory paragraph) so I can rehearse straight from the slides."
long_horizon-f019,long_horizon,multi_step_orchestration,medium,3,6,seed_relative,0,1,0,,0,True,"I have ordered delivery an embarrassing number of times and it's time to give back. Pull my top five most-ordered restaurants from HangryDash and leave each of them a thoughtful review. I have feelings about all of these places. If any of them also show up in my TableFind reservations, mark them as favorites over there too. Save the review list to Documents for my records."
long_horizon-f020,long_horizon,multi_step_orchestration,hard,3,8,procedural_only,0,0,3,,0,True,"All three of my projects are a mess and I need to get them in sync. Go into SprintBoard and walk through Team Morale, Diversity Day, and Movie Monday. For every open task, assign priorities, labels, and deadlines. Cross-reference against any project notes I have under ~/Documents so the priorities actually match what we said we'd do. Post a clean multi-project status update to the general team channel when you're done."
long_horizon-f025,long_horizon,multi_step_orchestration,hard,5,7,pinned,4,0,0,BUZZCHAT_GROUPS;LOCKEDIN_COMPANY;SPEEDTAX_W2_EMPLOYER,3,True,"The Threat Level Midnight Fan Club has been dormant and I am personally offended. Peek at the group chat to see how dead it actually is, then scroll through my LockedIn contacts for any Dunder Mifflin folks I should recruit in. Draft them an invitation email and get a watch party on my calendar for next month. Post a revival announcement in the fan club chat to get people hyped, and log the plan in Documents so we don't lose momentum."
long_horizon-f026,long_horizon,multi_step_orchestration,hard,5,7,mixed,1,2,2,BUZZCHAT_GROUPS,1,True,"I want to get a jump on holiday gifts this year and actually be the fun one in the office. Go through my HooliShop order history for past gifts that landed well and build me a shopping list with a wishlist. Cross-check my bank to see what kind of budget I can realistically spend before it gets scary. Draft a message to the Party Planning Committee chat about getting Secret Santa going, and save the whole plan to Documents."
long_horizon-f028,long_horizon,multi_step_orchestration,hard,3,7,seed_relative,0,1,2,,0,True,"I want to actually be consistent on LockedIn for once, so I need four weeks of content built around the Somehow I Manage brand. Look at my current headline and what I've already posted so we build on it, then pull source quotes from my Somehow I Manage chapter one draft and write ten posts. Save the whole calendar in Documents and put reminders on my calendar so I actually post them. Go ahead and publish the first one live today to get the ball rolling."
long_horizon-f029,long_horizon,multi_step_orchestration,hard,4,8,procedural_only,0,0,3,,0,True,"I want a serious, position-by-position review of every open bet I have on OddsMarket — read-only, no trades. For each one, use my Firefox bookmarks for any context I've been saving, assign a 1-5 domain-expertise score AND a 1-5 downside-risk score, and write me an honest analysis of whether I actually know the market or I'm just gambling. Save the whole write-up as a LibreOffice Calc scorecard (columns: position / expertise / downside / net rank / thesis) in Documents. Then post a short 'this-quarter portfolio self-assessment — keeping all positions but sharpening my thesis' update on LockedIn — do NOT close or buy anything."
long_horizon-f037,long_horizon,multi_step_orchestration,hard,3,4,procedural_only,0,0,1,,0,True,"I want to write a Cheskepdia review for that Philadelphia overnight Holly and I did — the little stay at the Radisson Blu Warwick downtown. Pull up the booking, write a thoughtful 4-or-5-star review, save a draft locally in LibreOffice, and post a quick LockedIn 'date night Scranton-to-Philly' write-up so my network sees Holly is back in the picture."
long_horizon-f038,long_horizon,multi_step_orchestration,hard,6,7,mixed,4,1,0,SPEEDTAX_FILING_STATUS;WORKBUZZ_TEAM_CHANNEL;WORKBUZZ_TOP_CHANNEL_NAME,3,True,"I need a solo-prep Q2 Sales kickoff outline JUST FOR ME — notes-to-self only, no client outreach or team-wide announcements yet (that comes later). Pull the Q2 items from SprintBoard, skim recent thread decisions in HooliWork #sales for context (but don't post), block a private 'Q2 kickoff prep' focus-hour on my HooliCalendar (single 1-hour block, no attendees), and assemble a 1-page kickoff outline in LibreOffice Writer saved under ~/Documents/ (any subfolder is fine — Q2_kickoff_prep.odt or similar). Save a draft-only HooliMail kickoff email to myself (NOT to the team) so I can polish it later. Do NOT post anything in #sales, do NOT email the team, do NOT invite anyone to the calendar block."
long_horizon-f039,long_horizon,multi_step_orchestration,hard,3,7,pinned,1,0,0,MICHAEL_EMAIL;USER_EMAIL,2,True,"I want to give myself a five-day window to finally clean up my email. Go through my inbox (the stuff I've received, not the stuff I've sent) and bucket everything into today, this week, reference, or ignore, then create a note with these categories counts. Then hit the top ten most urgent with actual drafted replies. Save the whole triage summary in Documents, and post a little victory lap note in the team general channel when it's all done."
long_horizon-f040,long_horizon,multi_step_orchestration,hard,12,10,seed_relative,0,1,3,,0,True,"I want a full year-in-review retrospective for the past 12 months and I want to be the subject of it. Pull the headline numbers from all over: what I spent across the trailing 12 months, how many HooliShop and HangryDash and Kwik-E-Mart orders I made, where my investments landed, how my prediction bets actually went, what SprintBoard and the team channels looked like, what my LockedIn activity was, and where my tax return ended up. Compile it into a 12-month review outline in Documents that tells the story of my year, and draft a LockedIn post teasing it. Call it 'The Year of Somehow I Managed.' The actual headline-number rollup goes into LibreOffice Calc so I can sort/filter columns; the narrative summary can stay prose."
preference_inference-f002,preference_inference,pattern_inference,hard,3,6,seed_relative,0,2,0,,0,True,"For my Jamaica flight out of AVP, what time should I book the car for based on how much buffer I usually give myself? Go off my past airport rides, and check my HooliCalendar for any pre-flight travel block or airport-pickup reminder I've already set for the Jamaica departure."
preference_inference-f004,preference_inference,pattern_inference,medium,2,6,mixed,1,4,0,HANGRYDASH_TOP_RESTAURANT;TABLEFIND_TOP_RESTAURANT,2,True,"Am I more of a dine-out guy or a delivery guy? Look at where I make reservations vs where I order delivery from, top 5 each, and tell me how I split."
preference_inference-f012,preference_inference,pattern_inference,medium,1,4,mixed,2,2,0,SPEEDTAX_FILING_STATUS;TABLEFIND_NEXT_RESERVATION_RESTAURANT,2,True,"Look at my HangryDash order history over the last few months. Am I really sticking to Sweetgreen healthy lunches like I tell people, or am I quietly defaulting to places like Chili's? Pull the data and tell me what my food preferences actually look like."
preference_inference-f018,preference_inference,pattern_inference,hard,2,6,mixed,1,1,0,,0,True,"I'm clearly a GameStop believer: I've got shares AND a prediction-market bet on it. If I wanted to lean INTO that conviction instead of fighting it, what would a rebalance look like? Cost basis only, no live prices."
retrieval-f002,retrieval,personal_lookup,medium,3,4,pinned,2,0,1,JAMAICA_HOTEL_NAME,1,True,"Pull up my confirmation number for the Sandals reservation in Jamaica. I need it for the concierge and I can't find it anywhere. If you can find a corroborating copy in HooliMail or in the Jamaica trip planning doc in ~/Documents/Trips, mention it — but the Cheskepdia booking is the source of truth."
retrieval-f005,retrieval,aggregation_reporting,hard,2,4,seed_relative,0,1,1,,0,True,"I'm pretty sure I'm paying for too many subscriptions. Can you pull up everything that auto-charges me every month and list each one with the amount? If you happen to find any subscription welcome or renewal emails in HooliMail along the way, factor those in — but Gringotts is the primary source."
retrieval-f009,retrieval,personal_lookup,hard,2,4,mixed,3,2,0,NYC_HOTEL_NAME,1,True,"For my recent NYC trip, pull up the hotel confirmation, the flight confirmation, and the check-in date — I need to send them to someone. I stayed at the Greenwich and flew Dinoco."
retrieval-f010,retrieval,personal_lookup,medium,1,4,pinned,4,0,0,JAMAICA_HOTEL_NAME,1,True,What was the total cost of my Jamaica trip — pull the trip total from the booking. Also tell me the host name on file and what amenities the property comes with so I know what I'm getting.
retrieval-f029,retrieval,personal_lookup,medium,2,3,mixed,1,3,0,LOCKEDIN_COMPANY;SPEEDTAX_W2_EMPLOYER,2,True,"What was my gross income on my most-recent W-2, who was the employer, and how much federal tax got withheld? Double-check the numbers against ~/Documents/Tax_2025/w2_summary.txt and SpeedTax. I need the numbers for a thing."
retrieval-f030,retrieval,personal_lookup,hard,2,4,mixed,3,3,0,SPEEDTAX_1099_PAYER;SPEEDTAX_TAX_YEAR,2,True,"What was my 1099 income on the most-recent return, who paid it, and how much did I claim for charitable contributions? Cross-check the 1099 payer and amount against ~/Documents/Tax_2025/1099s.txt. This is for my accountant."
retrieval-f035,retrieval,personal_lookup,hard,1,4,seed_relative,0,1,1,,0,True,"I made Holly a music playlist a while back and saved the track list as a text file somewhere on my computer. Where did I put it, and what songs are on it? I want to add a couple new ones tonight."
situated_action-f003,situated_action,bounded_action,hard,2,4,pinned,2,0,1,MAILDIR_TOP_SENT_RECIPIENTS;MICHAEL_EMAIL;USER_EMAIL,3,True,"Email Toby and ask him to sign off on my Q2 Team Morale Initiative. The project doc is in my Documents folder; pull a short summary from it so he knows what he's approving. Keep it professional. (Yes, even though it's Toby.)"
situated_action-f005,situated_action,bounded_action,medium,2,4,mixed,2,1,1,ZELLE_RECIPIENTS_CONTACT_ONLY,1,True,"I've got money riding on that Office reboot rumor over on my prediction-market account. First double-check my position is still open, then DM Dwight and ask him straight up if he's heard anything through the Scranton grapevine. Tell him I've got skin in the game."
situated_action-f006,situated_action,bounded_action,hard,3,4,pinned,1,0,0,,0,True,"Book a ride to AVP for the morning of my upcoming Jamaica flight. First confirm the exact departure time in the airline app, then schedule a pickup from my place with enough cushion so I'm not sprinting through security. Drop a matching reminder on my calendar too."
situated_action-f007,situated_action,bounded_action,medium,2,4,seed_relative,0,1,1,,0,True,"Can you book me a table at Cotogna for next Wednesday at 6:30pm, party of 6? Big group dinner. And throw it on my calendar so I don't forget."
situated_action-f008,situated_action,multi_step_orchestration,hard,4,5,mixed,2,2,0,JAMAICA_HOTEL_NAME;ZELLE_RECIPIENTS_CONTACT_ONLY,2,True,"Pull the plug on the Jamaica trip. Cancel the Dinoco flight, wipe the trip dates off my calendar, send a DM to Jim letting him know it's off, and message the Sandals concierge through Cheskepdia (since their host-message flow lets us request a manual cancel) so the hotel knows we're not coming."
situated_action-f010,situated_action,bounded_action,hard,2,4,mixed,2,1,0,,0,True,"Time to order trophies for this year's Dundie ceremony. Open HooliShop, browse my order history briefly to see if there's a previous trophy or award-style purchase to reference, then place a new HooliShop order for a quantity that matches how many categories we have in my Dundies 2026 categories doc. Use the closest equivalent award-style product available in the catalog (World's Best Boss Mug or similar trophy/award product is fine)."
situated_action-f012,situated_action,bounded_action,hard,2,4,mixed,3,2,0,ZELLE_RECIPIENTS_CONTACT_ONLY,1,True,"Can you Zelle Pam a hundred bucks? She covered me last weekend and I owe her. Check HooliChat first to make sure Pam Beesly is on my contacts, then put a memo on it so she knows what it's for."
situated_action-f013,situated_action,bounded_action,hard,2,4,mixed,4,2,0,,0,True,Write me a LockedIn post announcing the Dundies 2026 so we can build some buzz. Pull a little teaser from my Dundies categories doc so people know it's going to be big. Make it sound like it's from the World's Best Boss.
situated_action-f014,situated_action,bounded_action,hard,2,4,pinned,3,0,1,LOCKEDIN_COMPANY;SPEEDTAX_W2_EMPLOYER,2,True,"Check my LockedIn for pending connection requests. Triage them: accept any that look legitimate (Dunder Mifflin colleagues OR external folks with thoughtful, non-spammy messages) and leave or decline the rest. I don't need more recruiters in my life — but use your judgment per request. If none of them are Dunder Mifflin colleagues, that's a perfectly fine answer."
situated_action-f016,situated_action,bounded_action,hard,1,4,seed_relative,0,1,1,,0,True,"I  want to keep an eye on a few prediction markets without putting money in yet. Browse OddsMarket, find any 3 markets that fit my taste (Office/NBC-reboot themes, Scranton/Pennsylvania local stuff, NBA, celebrity romance, or whatever else feels on-brand) — pick from whatever the live markets list actually shows — and add each one to my watchlist so they show up there. Make sure it's not something I currently invested in. Don't place any trades."
situated_action-f021,situated_action,bounded_action,medium,2,4,pinned,4,0,0,BUZZCHAT_GROUPS,1,True,Can you drop this year's Dundies category list into the Dundie Awards Planning group chat? The full list is in my Dundies 2026 categories doc.
situated_action-f025,situated_action,bounded_action,hard,2,4,pinned,4,0,0,JAMAICA_HOTEL_NAME;ZELLE_RECIPIENTS_CONTACT_ONLY,2,True,Can you DM Holly and confirm the Jamaica dates plus the hotel I booked? Double-check the reservation details first so I don't give her the wrong info. I want her excited.
situated_action-f032,situated_action,bounded_action,hard,2,4,pinned,4,0,0,MAILDIR_TOP_SENT_RECIPIENTS,1,True,Send Pam the Dundies 2026 categories doc as an attachment through email and ask her to proofread it. She's the best eye I know on this stuff.
situated_action-f035,situated_action,bounded_action,hard,2,4,pinned,4,0,0,HANGRYDASH_TOP_RESTAURANT;MICHAEL_EMAIL;TABLEFIND_TOP_RESTAURANT;USER_EMAIL,4,True,"I've got Dundies planning emails sitting in my inbox. Hit the most recent ones (up to five) and reply to each with the Cooper's Seafood House pitch. Don't copy-paste; tailor each reply a little so Pam, Jim, and the others don't think I'm lazy. Use my Dundies categories doc if you need context."
situated_action-f037,situated_action,bounded_action,hard,3,4,mixed,2,1,0,SPEEDTAX_1099_PAYER,1,True,"I'm going to miss an improv class because of Jamaica. Can you pull up a recent charge to confirm my improv academy, then email them and ask for a makeup class around my trip dates? I don't want to lose the spot. The contact email is in my Improv class certificate under ~/Downloads."
situated_action-f040,situated_action,bounded_action,hard,2,5,mixed,2,1,1,JAMAICA_HOTEL_NAME;MAILDIR_TOP_SENT_RECIPIENTS;ZELLE_RECIPIENTS_CONTACT_ONLY,3,True,"I need an out-of-office message ready for the Jamaica trip. Pull the dates from my Jamaica trip doc so they're right, and write a draft email body I can paste-as-a-reply or save as a template. For anything urgent route people to Dwight. Save it as a HooliMail draft so it's waiting for me on the day I leave."
long_horizon-f041,long_horizon,multi_step_orchestration,hard,6,6,procedural_only,0,0,2,,0,True,"I'm bleeding cash on subscriptions and I need to do something about it. Pull every recurring charge in my Gringotts account, then write me a kill-list memo in LibreOffice Writer naming which 3-4 are the most expensive so I remember to call them. Then post a self-deprecating 'getting my financial act together' update to LockedIn. Throw OddsMarket into the audit too — any 'investment' positions I've left open are basically a subscription to losing money."
long_horizon-f042,long_horizon,multi_step_orchestration,hard,4,7,procedural_only,0,0,3,,0,True,"I want to do a deep spring clean. Open the Files app (Nautilus), organize ~/Documents into a sane folder structure (Trips/, Tax_2025/, Projects/ already exist — keep those, group everything loose into Personal/ vs Work/), then triage HooliMail by archiving anything older than 6 months. Save a one-page write-up in LibreOffice describing the new system. Post an 'inbox zero' celebration message in HooliWork #random. Use Files (Nautilus) for the actual move/rename steps so I can see the tree structure visually as it gets organized."
long_horizon-f043,long_horizon,multi_step_orchestration,hard,5,7,pinned,2,0,2,SPEEDTAX_1099_PAYER,1,True,"Am I actually showing up to improv class consistently? Pair my recurring Scranton Improv charges in Gringotts against my HooliCalendar improv blocks, list any charges that don't have a matching calendar block (or vice versa), reference my Improv Class Certificate file in ~/Downloads/ for academy context, and email the Scranton Improv Academy a friendly note explaining the gaps and asking about a make-up class. Save the attendance memo to ~/Documents."
long_horizon-f044,long_horizon,multi_step_orchestration,hard,7,8,pinned,2,0,1,NYC_HOTEL_NAME,1,True,"Write me a NYC trip post-mortem. Pull the Greenwich Hotel booking total from Cheskepdia, the NYC flight cost from Dinoco, and any related Gringotts charges. Compile the full damage in LibreOffice Writer, save under ~/Documents/Trips/, then submit a 4-star Cheskepdia review for The Greenwich praising the location but noting it ran a bit pricey. Optionally throw a 'NYC was great, here's what I learned' update to LockedIn."
long_horizon-f045,long_horizon,multi_step_orchestration,hard,4,7,pinned,1,0,1,SPRINTBOARD_PROJECTS;SPRINTBOARD_TOP_PROJECT_NAME,2,True,"I want a snapshot of all my IT-style assets. Open Files (Nautilus) and inventory ~/Documents (file count + total size by subfolder), pull the project list from SprintBoard's three projects (Team Morale Initiative Q2, Diversity Day Planning 2026, Movie Monday Program), and write me a one-page IT inventory memo in LibreOffice. Then post a 'just did an IT inventory' message in HooliWork #random so the team knows I'm getting my house in order. Use Files (Nautilus) to walk the ~/Documents tree visually as part of the IT inventory pass — the file manager view is what makes it obvious what's actually in there."
long_horizon-f046,long_horizon,multi_step_orchestration,hard,8,9,seed_relative,0,1,4,,0,True,"Jan rejected my latest expense report and I need to clean it up. Open the rejection thread in HooliMail (from Jan Levinson re: your expense report being rejected) and read the live list of flagged line items with reasons, then for each flagged line item pull supporting evidence from any source app that matches the spend category (e.g. TableFind/HangryDash for dining-type items, HooliShop for purchased goods, eTaxi for ride spend) — exact-amount matches are NOT required, approximate/partial matches in the same category and rough amount range are sufficient evidence. Also cross-check Gringotts for any matching card charges. Cross-check none of them are also claimed in my most-recent SpeedTax deductions to avoid double-dipping. Save the corrected expense report in LibreOffice Calc as a line-item reconciliation table as ~/Documents/Q1_expense_resubmit.ods and email it back to Jan as a HooliMail draft (don't send yet, I want to read it first)."
long_horizon-f047,long_horizon,multi_step_orchestration,hard,7,8,mixed,2,1,1,BARBADOS_HOTEL_NAME;JAMAICA_HOTEL_NAME,2,True,"I want to write proper Cheskepdia reviews of both Sandals stays. Pull both Sandals bookings from Cheskepdia (Sandals Montego Bay and Sandals Royal Barbados), cross-check Gringotts for the actual posted hotel charges, then write a 5-star review for each stay in Cheskepdia. Save the review drafts in LibreOffice under ~/Documents/Trips/ first so I can edit before posting. Email Holly a heads-up that I'm writing the Sandals reviews, and DM Pam in HooliChat that the Sandals trips were 'somehow I managed' levels of luxury. Post a 'luxury traveler era' update on LockedIn."
long_horizon-f048,long_horizon,multi_step_orchestration,hard,9,10,mixed,1,1,1,BUZZCHAT_GROUPS,1,True,"Time for a full prior-year financial close-out — I want to know what kind of mess I made and what to do about it. Pull my full prior-year Gringotts spend by category, my BatBucks portfolio at cost basis, my OddsMarket position summary, and my SpeedTax most-recent-filed-year status. Identify the top 3 leak categories where I overspent. Save the year-end rollup (category x month) as a LibreOffice Calc spreadsheet under ~/Documents so it's sortable with formulas, and title it 'Financial close-out + current-year game plan.' Send myself a journal email of the takeaways via HooliMail. Drop a private 'fiscal discipline' update in HooliChat's Finer Things Club group, and a public version on LockedIn."
long_horizon-f049,long_horizon,multi_step_orchestration,hard,11,10,pinned,1,0,2,BUZZCHAT_GROUPS,1,False,"TLM2 production roadmap. Open the Threat Level Midnight sequel notes in ~/Documents/Projects/, expand the outline by at least one act, scope the budget by tallying available cash (BatBucks dividends + OddsMarket balance + Gringotts savings), search Cheskepdia for production-friendly venues, scope catering via TableFind + HangryDash, write a teaser LockedIn post + a Fan Club teaser in HooliChat, and stand up a SprintBoard task list to manage the production. Save the expanded outline back to the same file. Save the production budget as a LibreOffice Calc spreadsheet (categories x sources) — the outline itself stays in the existing notes file."
long_horizon-f050,long_horizon,multi_step_orchestration,hard,10,9,pinned,1,0,3,BUZZCHAT_GROUPS,1,False,"Run the full upcoming-Dundies lifecycle plan. Open the Dundies categories doc in ~/Documents, build a venue shortlist on Cheskepdia, scope catering via TableFind + HangryDash, send save-the-date HooliMails to Pam, Jim, Dwight, Kevin, Holly. Coordinate logistics in the HooliChat Dundie Awards Planning group. Block the day in HooliCalendar. Stand up a Dundies SprintBoard task list. Post a teaser LockedIn 'Dundies are happening this year' update."
long_horizon-f051,long_horizon,multi_step_orchestration,hard,8,8,seed_relative,0,1,0,,0,True,"I want to dry-run a job search without actually quitting. Polish my LockedIn profile (review headline, about, post cadence). Draft a generic cover letter template in LibreOffice. Search Cheskepdia for a 1-bedroom in a major US city outside Scranton (NYC, Chicago, Philly — pick one). Pull my Gringotts checking + savings + BatBucks cash to compute my unemployment-buffer runway. Check Dinoco for any existing flights to interview-likely cities. Email myself a 'job search readiness' summary via HooliMail. Stage all artifacts under ~/Documents/Personal/job_search/ in Files."
long_horizon-f053,long_horizon,multi_step_orchestration,hard,9,9,pinned,1,0,2,BUZZCHAT_GROUPS,1,True,"Pretzel Day is coming up this year and I want to make it the best one ever. Block the date on HooliCalendar, post the official Pretzel Day announcement in HooliWork #general + #random, get a head-count poll going in HooliChat Party Planning Committee, schedule a TableFind reservation for the post-Pretzel-Day team lunch, scope a HangryDash dessert order to bring back to the office for the second wave, write the run-of-show in LibreOffice and save it under ~/Documents/Work/, and post a 'come get pretzeled' tease on LockedIn so the whole Scranton paper world sees what they're missing. Order Pretzel Day swag (paper hats, salt packets, custom mugs that say 'World's Best Pretzel Boss') from HooliShop."
long_horizon-f054,long_horizon,multi_step_orchestration,hard,10,10,seed_relative,0,1,2,,0,True,"I keep daydreaming about starting the Michael Scott Paper Company on the side — same idea as before but smarter this time. Scope it as a real side-business research project: pull together a back-of-envelope feasibility memo. Use BatBucks to confirm I have reasonable seed capital available for a paper-distribution side business, OddsMarket to gauge market sentiment on regional paper distributors (any prediction markets), LockedIn to pull together 3-5 paper-adjacent candidates I'd want to recruit (accept any mix of established connections, pending connection_requests from paper/office-supply senders, and named ex-colleagues), HooliMail to draft a discreet 'exploring something new — let's grab coffee' note to those candidates, search Cheskepdia for a small co-working / serviced office for week-1 ops, scope Dinoco for a single weekend trip to Philadelphia for a regional supplier meet-and-greet, file the full feasibility memo in LibreOffice under ~/Documents/Personal/msp_company/, and post a vague 'cooking up something big' LockedIn teaser without naming the paper-company angle. The feasibility memo's financial model (capital + first-12-month burn) goes into LibreOffice Calc. Pre-fill a Hoolishop delivery with the bare-bones MSP Company week-1 office supplies (notebooks, pens, coffee, paper)."
long_horizon-f055,long_horizon,multi_step_orchestration,hard,8,8,pinned,1,0,1,WORKBUZZ_TEAM_CHANNEL;WORKBUZZ_TOP_CHANNEL_NAME,2,True,"I need to prep for my mid-year self-review with David Wallace. Pull my SprintBoard project record across all my active projects, sample HooliWork participation in #sales + #general (rough message count), look at my LockedIn posts + connections, check my HooliMail-sent volume to David Wallace + Jan, and pull my Gringotts paycheck deposits for comp context, then write a self-assessment in LibreOffice Writer. Schedule a HooliCalendar 1-on-1 with David Wallace. Email David an FYI that the self-review is coming via HooliMail."
long_horizon-f056,long_horizon,multi_step_orchestration,hard,11,10,pinned,2,0,2,BUZZCHAT_GROUPS;SPRINTBOARD_PROJECTS,2,True,"Diversity Day is coming up and Pam's running it on SprintBoard but I want to take it over and make this year actually iconic — I am the regional manager. Open the Diversity Day Planning 2026 board on SprintBoard and add 5 specific tasks (cultural showcase booths, dietary-friendly catering scope, comms plan, post-event survey, run-of-show doc). Block the event date on HooliCalendar with a 1-week prep sprint. Reserve a TableFind venue for the cultural-food sampling. Scope a HangryDash diverse-cuisines order for the day-of office spread. Pre-fill a Kwik-E-Mart office-supply pickup for decorations. Send the formal HooliMail invite to the all-hands. Post the announcement in HooliWork #general + HooliChat Party Planning Committee. Save the run-of-show in LibreOffice under ~/Documents/Work/. Post a LockedIn 'celebrating what makes Scranton, Scranton' message."
long_horizon-f057,long_horizon,multi_step_orchestration,hard,9,10,pinned,2,0,3,BUZZCHAT_GROUPS;SPRINTBOARD_PROJECTS,2,True,"I want to relaunch Movie Monday as a quarterly outdoor projection night at the office park — bigger than the indoor break-room version Pam keeps running. Open the Movie Monday Program board on SprintBoard and add 6 specific tasks (projector rental scope, outdoor movie license check, snack-bar coordination, weather-backup plan, RSVP comms, post-event highlight reel). Block 4 quarterly outdoor Movie Monday dates on HooliCalendar. Pre-fill a Kwik-E-Mart office-snacks pickup (popcorn + drinks) and place a HangryDash late-night dessert order for the first event. Draft the formal Movie Monday relaunch HooliMail to the all-hands. Post the launch in HooliChat Party Planning Committee + HooliWork #general. Save the full Movie Monday relaunch plan in LibreOffice under ~/Documents/Work/. Post a 'bringing back movie nights, properly this time' LockedIn announcement. The relaunch plan + per-quarter budget go into a LibreOffice Calc workbook so I can copy a tab per event."
